fiscal_year,function_code,function_label,subfunction_code,subfunction_label,individual_income_tax_receipts_millions,total_outlays_millions,subfunction_outlays_millions,modeled_income_tax_allocation_millions,allocation_share_percent,outlay_share_percent,allocation_method,legal_allocation_status,actual_or_projection
1963,600,Income Security,609,Other income security,47588,111316,2633,1125.586863,2.365274571,2.365338316,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,650,Social Security,651,Social security,47588,111316,15788,6749.246256,14.182664235,14.183046462,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,700,Veterans Benefits and Services,701,Income security for veterans,47588,111316,4215,1801.879464,3.786415616,3.786517661,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,700,Veterans Benefits and Services,702,"Veterans education, training, and rehabilitation",47588,111316,95,40.611755,0.085340328,0.085342628,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,700,Veterans Benefits and Services,703,Hospital and medical care for veterans,47588,111316,1145,489.478526,1.028575535,1.028603256,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,700,Veterans Benefits and Services,704,Veterans housing,47588,111316,-104,-44.459185,-0.093425201,-0.093427719,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,700,Veterans Benefits and Services,705,Other veterans benefits and services,47588,111316,171,73.10116,0.153612591,0.153616731,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,750,Administration of Justice,751,Federal law enforcement activities,47588,111316,288,123.117743,0.258715942,0.258722915,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,750,Administration of Justice,752,Federal litigative and judicial activities,47588,111316,124,53.009028,0.111391586,0.111394588,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,750,Administration of Justice,753,Federal correctional activities,47588,111316,53,22.657085,0.04761092,0.047612203,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,800,General Government,801,Legislative functions,47588,111316,176,75.238621,0.158104187,0.158108448,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,800,General Government,802,Executive direction and management,47588,111316,13,5.557398,0.01167815,0.011678465,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,800,General Government,803,Central fiscal operations,47588,111316,542,231.700752,0.486889031,0.486902152,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,800,General Government,804,General property and records management,47588,111316,439,187.669059,0.394362148,0.394372777,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,800,General Government,805,Central personnel management,47588,111316,22,9.404828,0.019763023,0.019763556,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,800,General Government,806,General purpose fiscal assistance,47588,111316,232,99.178182,0.208410065,0.208415681,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,800,General Government,808,Other general government,47588,111316,63,26.932006,0.056594112,0.056595638,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,800,General Government,809,Deductions for offsetting receipts,47588,111316,-257,-109.865486,-0.230868046,-0.230874268,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,900,Net Interest,901,Interest on Treasury debt securities (gross),47588,111316,9895,4230.034945,8.888868926,8.889108484,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,900,Net Interest,902,Interest received by on-budget trust funds,47588,111316,-895,-382.605485,-0.803995724,-0.804017392,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,900,Net Interest,903,Interest received by off-budget trust funds,47588,111316,-582,-248.800438,-0.5228218,-0.522835891,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,900,Net Interest,908,Other interest,47588,111316,-678,-289.839686,-0.609060448,-0.609076862,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,950,Undistributed Offsetting Receipts,951,"Employer share, employee retirement (on-budget)",47588,111316,-5188,-2217.829337,-4.660480241,-4.660605843,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,950,Undistributed Offsetting Receipts,952,"Employer share, employee retirement (off-budget)",47588,111316,-242,-103.453103,-0.217393257,-0.217399116,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,950,Undistributed Offsetting Receipts,953,Rents and royalties on the Outer Continental Shelf,47588,111316,-367,-156.889624,-0.329683163,-0.329692048,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,050,National Defense,051,Department of Defense-Military,48697,118528,52585,21603.716676,44.363547396,44.365044546,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,050,National Defense,053,Atomic energy defense activities,48697,118528,1902,781.406658,1.604629973,1.604684125,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,050,National Defense,054,Defense-related activities,48697,118528,270,110.925235,0.227786589,0.227794276,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,150,International Affairs,151,International development and humanitarian assistance,48697,118528,3367,1383.278769,2.840583134,2.840678996,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,150,International Affairs,152,International security assistance,48697,118528,1830,751.826595,1.543886883,1.543938985,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,150,International Affairs,153,Conduct of foreign affairs,48697,118528,231,94.902701,0.194884082,0.194890659,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,150,International Affairs,154,Foreign information and exchange activities,48697,118528,207,85.04268,0.174636385,0.174642279,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,150,International Affairs,155,International financial programs,48697,118528,-690,-283.475602,-0.582121284,-0.582140929,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,250,"General Science, Space, and Technology",251,General science and basic research,48697,118528,766,314.699001,0.64623899,0.646260799,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,250,"General Science, Space, and Technology",252,"Space flight, research, and supporting activities",48697,118528,4131,1697.156101,3.485134816,3.48525243,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,270,Energy,271,Energy supply,48697,118528,485,199.254589,0.409172207,0.409186015,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,270,Energy,276,"Energy information, policy, and regulation",48697,118528,87,35.742576,0.073397901,0.073400378,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,300,Natural Resources and Environment,301,Water resources,48697,118528,1461,600.228774,1.232578544,1.23262014,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,300,Natural Resources and Environment,302,Conservation and land management,48697,118528,364,149.543651,0.307090069,0.307100432,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,300,Natural Resources and Environment,303,Recreational resources,48697,118528,167,68.609312,0.140890224,0.140894978,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,300,Natural Resources and Environment,304,Pollution control and abatement,48697,118528,117,48.067602,0.098707522,0.098710853,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,300,Natural Resources and Environment,306,Other natural resources,48697,118528,255,104.762722,0.215131779,0.215139039,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,350,Agriculture,351,Farm income stabilization,48697,118528,4241,1742.347864,3.57793676,3.578057505,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,350,Agriculture,352,Agricultural research and services,48697,118528,368,151.186987,0.310464685,0.310475162,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,370,Commerce and Housing Credit,371,Mortgage credit,48697,118528,-54,-22.185047,-0.045557318,-0.045558855,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,370,Commerce and Housing Credit,372,Postal service,48697,118528,578,237.462171,0.487632032,0.487648488,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,370,Commerce and Housing Credit,373,Deposit insurance,48697,118528,-436,-179.123713,-0.367833159,-0.367845572,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,370,Commerce and Housing Credit,376,Other advancement of commerce,48697,118528,331,135.986122,0.279249485,0.279258909,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,400,Transportation,401,Ground transportation,48697,118528,3715,1526.249072,3.134174738,3.134280508,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,400,Transportation,402,Air transportation,48697,118528,882,362.355769,0.744102858,0.74412797,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,400,Transportation,403,Water transportation,48697,118528,646,265.398897,0.545000506,0.545018898,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,450,Community and Regional Development,451,Community development,48697,118528,316,129.823609,0.266594675,0.266603672,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,450,Community and Regional Development,452,Area and regional development,48697,118528,592,243.213849,0.499443188,0.499460043,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,450,Community and Regional Development,453,Disaster relief and insurance,48697,118528,25,10.270855,0.021091351,0.021092063,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,500,"Education, Training, Employment, and Social Services",501,"Elementary, secondary, and vocational education",48697,118528,579,237.873005,0.488475686,0.488492171,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,500,"Education, Training, Employment, and Social Services",502,Higher education,48697,118528,382,156.938666,0.322275841,0.322286717,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,500,"Education, Training, Employment, and Social Services",503,Research and general education aids,48697,118528,62,25.471721,0.05230655,0.052308315,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,500,"Education, Training, Employment, and Social Services",504,Training and employment,48697,118528,291,119.552754,0.245503324,0.245511609,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,500,"Education, Training, Employment, and Social Services",505,Other labor services,48697,118528,72,29.580063,0.06074309,0.06074514,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,500,"Education, Training, Employment, and Social Services",506,Social services,48697,118528,169,69.430981,0.142577532,0.142582343,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,550,Health,551,Health care services,48697,118528,740,304.017312,0.624303985,0.624325054,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,550,Health,552,Health research and training,48697,118528,925,380.02164,0.780379982,0.780406317,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,550,Health,554,Consumer and occupational health and safety,48697,118528,123,50.532607,0.103769446,0.103772948,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,600,Income Security,601,General retirement and disability insurance (excluding social security),48697,118528,682,280.188928,0.575372051,0.575391469,proportional_outlay_share,modeled_not_legal_dedication,actual
1964,600,Income Security,602,Federal employee retirement and disability,48697,118528,2546,1045.983886,2.147943171,2.148015659,proportional_outlay_share,modeled_not_legal_dedication,actual
