fiscal_year,function_code,function_label,subfunction_code,subfunction_label,individual_income_tax_receipts_millions,total_outlays_millions,subfunction_outlays_millions,modeled_income_tax_allocation_millions,allocation_share_percent,outlay_share_percent,allocation_method,legal_allocation_status,actual_or_projection
2021,600,Income Security,609,Other income security,2044377,6820705,831032,249086.085245,12.183960456,12.183960456,proportional_outlay_share,modeled_not_legal_dedication,actual
2021,650,Social Security,651,Social security,2044377,6820705,1134586,340070.64122,16.634438815,16.634438815,proportional_outlay_share,modeled_not_legal_dedication,actual
2021,700,Veterans Benefits and Services,701,Income security for veterans,2044377,6820705,115828,34717.246847,1.698182226,1.698182226,proportional_outlay_share,modeled_not_legal_dedication,actual
2021,700,Veterans Benefits and Services,702,"Veterans education, training, and rehabilitation",2044377,6820705,12044,3609.96064,0.176579987,0.176579987,proportional_outlay_share,modeled_not_legal_dedication,actual
2021,700,Veterans Benefits and Services,703,Hospital and medical care for veterans,2044377,6820705,99864,29932.340532,1.464130174,1.464130174,proportional_outlay_share,modeled_not_legal_dedication,actual
2021,700,Veterans Benefits and Services,704,Veterans housing,2044377,6820705,-3416,-1023.881231,-0.050082799,-0.050082799,proportional_outlay_share,modeled_not_legal_dedication,actual
2021,700,Veterans Benefits and Services,705,Other veterans benefits and services,2044377,6820705,9962,2985.920616,0.146055283,0.146055283,proportional_outlay_share,modeled_not_legal_dedication,actual
2021,750,Administration of Justice,751,Federal law enforcement activities,2044377,6820705,38296,11478.49989,0.561466886,0.561466886,proportional_outlay_share,modeled_not_legal_dedication,actual
2021,750,Administration of Justice,752,Federal litigative and judicial activities,2044377,6820705,18380,5509.056507,0.26947361,0.26947361,proportional_outlay_share,modeled_not_legal_dedication,actual
2021,750,Administration of Justice,753,Federal correctional activities,2044377,6820705,7670,2298.937073,0.112451719,0.112451719,proportional_outlay_share,modeled_not_legal_dedication,actual
2021,750,Administration of Justice,754,Criminal justice assistance,2044377,6820705,7084,2123.294684,0.103860231,0.103860231,proportional_outlay_share,modeled_not_legal_dedication,actual
2021,800,General Government,801,Legislative functions,2044377,6820705,4695,1407.237231,0.068834527,0.068834527,proportional_outlay_share,modeled_not_legal_dedication,actual
2021,800,General Government,802,Executive direction and management,2044377,6820705,586,175.642389,0.008591487,0.008591487,proportional_outlay_share,modeled_not_legal_dedication,actual
2021,800,General Government,803,Central fiscal operations,2044377,6820705,13692,4103.917393,0.200741712,0.200741712,proportional_outlay_share,modeled_not_legal_dedication,actual
2021,800,General Government,804,General property and records management,2044377,6820705,-1151,-344.990427,-0.016875088,-0.016875088,proportional_outlay_share,modeled_not_legal_dedication,actual
2021,800,General Government,805,Central personnel management,2044377,6820705,231,69.23787,0.003386747,0.003386747,proportional_outlay_share,modeled_not_legal_dedication,actual
2021,800,General Government,806,General purpose fiscal assistance,2044377,6820705,250693,75140.473494,3.675470498,3.675470498,proportional_outlay_share,modeled_not_legal_dedication,actual
2021,800,General Government,808,Other general government,2044377,6820705,8561,2565.997429,0.125514884,0.125514884,proportional_outlay_share,modeled_not_legal_dedication,actual
2021,800,General Government,809,Deductions for offsetting receipts,2044377,6820705,-3366,-1008.894679,-0.049349737,-0.049349737,proportional_outlay_share,modeled_not_legal_dedication,actual
2021,900,Net Interest,901,Interest on Treasury debt securities (gross),2044377,6820705,562380,168562.742013,8.24518873,8.24518873,proportional_outlay_share,modeled_not_legal_dedication,actual
2021,900,Net Interest,902,Interest received by on-budget trust funds,2044377,6820705,-76327,-22877.571054,-1.119048544,-1.119048544,proportional_outlay_share,modeled_not_legal_dedication,actual
2021,900,Net Interest,903,Interest received by off-budget trust funds,2044377,6820705,-73253,-21956.197839,-1.073979889,-1.073979889,proportional_outlay_share,modeled_not_legal_dedication,actual
2021,900,Net Interest,908,Other interest,2044377,6820705,-53701,-16095.856554,-0.787323305,-0.787323305,proportional_outlay_share,modeled_not_legal_dedication,actual
2021,900,Net Interest,909,Other investment income,2044377,6820705,-6761,-2026.481558,-0.099124651,-0.099124651,proportional_outlay_share,modeled_not_legal_dedication,actual
2021,950,Undistributed Offsetting Receipts,951,"Employer share, employee retirement (on-budget)",2044377,6820705,-90797,-27214.679197,-1.331196702,-1.331196702,proportional_outlay_share,modeled_not_legal_dedication,actual
2021,950,Undistributed Offsetting Receipts,952,"Employer share, employee retirement (off-budget)",2044377,6820705,-19890,-5961.650376,-0.291612084,-0.291612084,proportional_outlay_share,modeled_not_legal_dedication,actual
2021,950,Undistributed Offsetting Receipts,953,Rents and royalties on the Outer Continental Shelf,2044377,6820705,-4223,-1265.76418,-0.061914421,-0.061914421,proportional_outlay_share,modeled_not_legal_dedication,actual
2021,950,Undistributed Offsetting Receipts,959,Other undistributed offsetting receipts,2044377,6820705,-8950,-2682.592804,-0.131218107,-0.131218107,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,050,National Defense,051,Department of Defense-Military,2632146,6271510,726458,304893.641064,11.583462356,11.583462356,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,050,National Defense,053,Atomic energy defense activities,2632146,6271510,28291,11873.702264,0.451103482,0.451103482,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,050,National Defense,054,Defense-related activities,2632146,6271510,10900,4574.718274,0.173801844,0.173801844,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,150,International Affairs,151,International development and humanitarian assistance,2632146,6271510,34163,14338.174347,0.544733246,0.544733246,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,150,International Affairs,152,International security assistance,2632146,6271510,26104,10955.820717,0.416231498,0.416231498,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,150,International Affairs,153,Conduct of foreign affairs,2632146,6271510,14400,6043.664508,0.229609775,0.229609775,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,150,International Affairs,154,Foreign information and exchange activities,2632146,6271510,1969,826.387182,0.031395948,0.031395948,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,150,International Affairs,155,International financial programs,2632146,6271510,-6081,-2552.189158,-0.096962295,-0.096962295,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,250,"General Science, Space, and Technology",251,General science and basic research,2632146,6271510,15205,6381.522142,0.242445599,0.242445599,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,250,"General Science, Space, and Technology",252,"Space flight, research, and supporting activities",2632146,6271510,22199,9316.896418,0.353965791,0.353965791,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,270,Energy,271,Energy supply,2632146,6271510,4063,1705.236729,0.064785036,0.064785036,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,270,Energy,272,Energy conservation,2632146,6271510,32,13.430366,0.000510244,0.000510244,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,270,Energy,274,Emergency energy preparedness,2632146,6271510,-13844,-5810.311906,-0.220744286,-0.220744286,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,270,Energy,276,"Energy information, policy, and regulation",2632146,6271510,617,258.954236,0.009838141,0.009838141,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,300,Natural Resources and Environment,301,Water resources,2632146,6271510,10441,4382.076467,0.166483032,0.166483032,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,300,Natural Resources and Environment,302,Conservation and land management,2632146,6271510,9711,4075.696253,0.154843092,0.154843092,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,300,Natural Resources and Environment,303,Recreational resources,2632146,6271510,4480,1880.25118,0.071434152,0.071434152,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,300,Natural Resources and Environment,304,Pollution control and abatement,2632146,6271510,9174,3850.31793,0.146280561,0.146280561,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,300,Natural Resources and Environment,306,Other natural resources,2632146,6271510,7145,2998.748813,0.113927906,0.113927906,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,350,Agriculture,351,Farm income stabilization,2632146,6271510,16437,6898.591217,0.262089991,0.262089991,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,350,Agriculture,352,Agricultural research and services,2632146,6271510,16628,6978.753711,0.26513551,0.26513551,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,370,Commerce and Housing Credit,371,Mortgage credit,2632146,6271510,-43386,-18209.057525,-0.691795118,-0.691795118,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,370,Commerce and Housing Credit,372,Postal service,2632146,6271510,2636,1106.326364,0.042031345,0.042031345,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,370,Commerce and Housing Credit,373,Deposit insurance,2632146,6271510,-11525,-4837.030101,-0.183767546,-0.183767546,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,370,Commerce and Housing Credit,376,Other advancement of commerce,2632146,6271510,33200,13934.004283,0.529378092,0.529378092,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,400,Transportation,401,Ground transportation,2632146,6271510,89901,37731.352983,1.433482527,1.433482527,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,400,Transportation,402,Air transportation,2632146,6271510,28397,11918.19035,0.452793665,0.452793665,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,400,Transportation,403,Water transportation,2632146,6271510,12260,5145.50881,0.195487211,0.195487211,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,400,Transportation,407,Other transportation,2632146,6271510,466,195.579699,0.007430427,0.007430427,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,450,Community and Regional Development,451,Community development,2632146,6271510,17040,7151.669668,0.2717049,0.2717049,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,450,Community and Regional Development,452,Area and regional development,2632146,6271510,6001,2518.613244,0.095686685,0.095686685,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,450,Community and Regional Development,453,Disaster relief and insurance,2632146,6271510,46922,19693.11292,0.748177074,0.748177074,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,500,"Education, Training, Employment, and Social Services",501,"Elementary, secondary, and vocational education",2632146,6271510,122697,51495.7989,1.956418789,1.956418789,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,500,"Education, Training, Employment, and Social Services",502,Higher education,2632146,6271510,518089,217441.395931,8.260992967,8.260992967,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,500,"Education, Training, Employment, and Social Services",503,Research and general education aids,2632146,6271510,4261,1788.337116,0.06794217,0.06794217,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,500,"Education, Training, Employment, and Social Services",504,Training and employment,2632146,6271510,7550,3168.726878,0.120385681,0.120385681,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,500,"Education, Training, Employment, and Social Services",505,Other labor services,2632146,6271510,1975,828.905375,0.031491618,0.031491618,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,500,"Education, Training, Employment, and Social Services",506,Social services,2632146,6271510,22733,9541.015643,0.362480487,0.362480487,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,550,Health,551,Health care services,2632146,6271510,864578,362862.456472,13.785802781,13.785802781,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,550,Health,552,Health research and training,2632146,6271510,42642,17896.801525,0.679931946,0.679931946,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,550,Health,554,Consumer and occupational health and safety,2632146,6271510,6861,2879.554319,0.109399491,0.109399491,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,570,Medicare,571,Medicare,2632146,6271510,755094,316912.139457,12.040066906,12.040066906,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,600,Income Security,601,General retirement and disability insurance (excluding social security),2632146,6271510,12078,5069.123606,0.192585199,0.192585199,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,600,Income Security,602,Federal employee retirement and disability,2632146,6271510,168692,70799.850918,2.689814734,2.689814734,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,600,Income Security,603,Unemployment compensation,2632146,6271510,36802,15445.759808,0.586812426,0.586812426,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,600,Income Security,604,Housing assistance,2632146,6271510,76463,32091.43884,1.21921196,1.21921196,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,600,Income Security,605,Food and nutrition assistance,2632146,6271510,193932,81393.051765,3.092269645,3.092269645,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,600,Income Security,609,Other income security,2632146,6271510,378130,158700.754201,6.02932946,6.02932946,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,650,Social Security,651,Social security,2632146,6271510,1218663,511471.550041,19.431731752,19.431731752,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,700,Veterans Benefits and Services,701,Income security for veterans,2632146,6271510,139926,58726.791665,2.231137318,2.231137318,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,700,Veterans Benefits and Services,702,"Veterans education, training, and rehabilitation",2632146,6271510,11936,5009.526359,0.190320991,0.190320991,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,700,Veterans Benefits and Services,703,Hospital and medical care for veterans,2632146,6271510,110706,46463.189101,1.765220816,1.765220816,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,700,Veterans Benefits and Services,704,Veterans housing,2632146,6271510,1591,667.740988,0.025368691,0.025368691,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,700,Veterans Benefits and Services,705,Other veterans benefits and services,2632146,6271510,10245,4299.815478,0.163357788,0.163357788,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,750,Administration of Justice,751,Federal law enforcement activities,2632146,6271510,38203,16033.758001,0.609151544,0.609151544,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,750,Administration of Justice,752,Federal litigative and judicial activities,2632146,6271510,18462,7748.481538,0.294378866,0.294378866,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,750,Administration of Justice,753,Federal correctional activities,2632146,6271510,7540,3164.529888,0.120226229,0.120226229,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,750,Administration of Justice,754,Criminal justice assistance,2632146,6271510,7118,2987.416942,0.113497387,0.113497387,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,800,General Government,801,Legislative functions,2632146,6271510,5058,2122.837159,0.080650433,0.080650433,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,800,General Government,802,Executive direction and management,2632146,6271510,609,255.596645,0.00971058,0.00971058,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,800,General Government,803,Central fiscal operations,2632146,6271510,14496,6083.955605,0.231140507,0.231140507,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,800,General Government,804,General property and records management,2632146,6271510,-991,-415.921634,-0.015801617,-0.015801617,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,800,General Government,805,Central personnel management,2632146,6271510,318,133.464258,0.005070549,0.005070549,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,800,General Government,806,General purpose fiscal assistance,2632146,6271510,114902,48224.245786,1.832126553,1.832126553,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,800,General Government,808,Other general government,2632146,6271510,3134,1315.336428,0.049972016,0.049972016,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,800,General Government,809,Deductions for offsetting receipts,2632146,6271510,-4310,-1808.902363,-0.068723481,-0.068723481,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,900,Net Interest,901,Interest on Treasury debt securities (gross),2632146,6271510,717568,301162.517628,11.44171021,11.44171021,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,900,Net Interest,902,Interest received by on-budget trust funds,2632146,6271510,-116213,-48774.471076,-1.85303061,-1.85303061,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,900,Net Interest,903,Interest received by off-budget trust funds,2632146,6271510,-67738,-28429.565726,-1.08009076,-1.08009076,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,900,Net Interest,908,Other interest,2632146,6271510,-60895,-25557.565988,-0.970978281,-0.970978281,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,900,Net Interest,909,Other investment income,2632146,6271510,3165,1328.347095,0.050466315,0.050466315,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,950,Undistributed Offsetting Receipts,951,"Employer share, employee retirement (on-budget)",2632146,6271510,-98798,-41465.414311,-1.575346288,-1.575346288,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,950,Undistributed Offsetting Receipts,952,"Employer share, employee retirement (off-budget)",2632146,6271510,-20829,-8741.908892,-0.332120972,-0.332120972,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,950,Undistributed Offsetting Receipts,953,Rents and royalties on the Outer Continental Shelf,2632146,6271510,-11828,-4964.198875,-0.188598918,-0.188598918,proportional_outlay_share,modeled_not_legal_dedication,actual
2022,950,Undistributed Offsetting Receipts,959,Other undistributed offsetting receipts,2632146,6271510,-103509,-43442.615943,-1.650463764,-1.650463764,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,050,National Defense,051,Department of Defense-Military,2176481,6128415,775874,275548.411685,12.660271865,12.660271865,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,050,National Defense,053,Atomic energy defense activities,2176481,6128415,32563,11564.613494,0.531344565,0.531344565,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,050,National Defense,054,Defense-related activities,2176481,6128415,11826,4199.954524,0.19296996,0.19296996,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,150,International Affairs,151,International development and humanitarian assistance,2176481,6128415,37576,13344.959513,0.613143855,0.613143855,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,150,International Affairs,152,International security assistance,2176481,6128415,29260,10391.566834,0.477448084,0.477448084,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,150,International Affairs,153,Conduct of foreign affairs,2176481,6128415,14610,5188.680501,0.238397693,0.238397693,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,150,International Affairs,154,Foreign information and exchange activities,2176481,6128415,2189,777.414211,0.03571886,0.03571886,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,150,International Affairs,155,International financial programs,2176481,6128415,-20580,-7308.901075,-0.335812767,-0.335812767,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,250,"General Science, Space, and Technology",251,General science and basic research,2176481,6128415,16811,5970.356461,0.274312363,0.274312363,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,250,"General Science, Space, and Technology",252,"Space flight, research, and supporting activities",2176481,6128415,24465,8688.642604,0.399205994,0.399205994,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,270,Energy,271,Energy supply,2176481,6128415,4609,1636.867107,0.075207048,0.075207048,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,270,Energy,272,Energy conservation,2176481,6128415,1614,573.205361,0.026336337,0.026336337,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,270,Energy,274,Emergency energy preparedness,2176481,6128415,-7264,-2579.779271,-0.118529832,-0.118529832,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,270,Energy,276,"Energy information, policy, and regulation",2176481,6128415,635,225.517599,0.01036157,0.01036157,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,300,Natural Resources and Environment,301,Water resources,2176481,6128415,10458,3714.115036,0.170647712,0.170647712,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,300,Natural Resources and Environment,302,Conservation and land management,2176481,6128415,11900,4226.235315,0.19417745,0.19417745,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,300,Natural Resources and Environment,303,Recreational resources,2176481,6128415,4914,1745.186583,0.080183865,0.080183865,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,300,Natural Resources and Environment,304,Pollution control and abatement,2176481,6128415,12465,4426.892706,0.2033968,0.2033968,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,300,Natural Resources and Environment,306,Other natural resources,2176481,6128415,7650,2716.86556,0.124828361,0.124828361,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,350,Agriculture,351,Farm income stabilization,2176481,6128415,24633,8748.307103,0.401947322,0.401947322,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,350,Agriculture,352,Agricultural research and services,2176481,6128415,9018,3202.705048,0.147150609,0.147150609,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,370,Commerce and Housing Credit,371,Mortgage credit,2176481,6128415,-22150,-7866.48002,-0.361431137,-0.361431137,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,370,Commerce and Housing Credit,372,Postal service,2176481,6128415,5819,2066.593555,0.094951142,0.094951142,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,370,Commerce and Housing Credit,373,Deposit insurance,2176481,6128415,91205,32391.074952,1.48823146,1.48823146,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,370,Commerce and Housing Credit,376,Other advancement of commerce,2176481,6128415,25891,9195.08055,0.422474653,0.422474653,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,400,Transportation,401,Ground transportation,2176481,6128415,84228,29913.222533,1.374384731,1.374384731,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,400,Transportation,402,Air transportation,2176481,6128415,29165,10357.827981,0.475897928,0.475897928,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,400,Transportation,403,Water transportation,2176481,6128415,12496,4437.902227,0.20390264,0.20390264,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,400,Transportation,407,Other transportation,2176481,6128415,528,187.516996,0.008615605,0.008615605,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,450,Community and Regional Development,451,Community development,2176481,6128415,11681,4148.45838,0.190603933,0.190603933,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,450,Community and Regional Development,452,Area and regional development,2176481,6128415,6334,2249.493654,0.103354619,0.103354619,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,450,Community and Regional Development,453,Disaster relief and insurance,2176481,6128415,68538,24340.984541,1.11836421,1.11836421,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,500,"Education, Training, Employment, and Social Services",501,"Elementary, secondary, and vocational education",2176481,6128415,111403,39564.310322,1.817810967,1.817810967,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,500,"Education, Training, Employment, and Social Services",502,Higher education,2176481,6128415,-152600,-54195.252867,-2.490040247,-2.490040247,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,500,"Education, Training, Employment, and Social Services",503,Research and general education aids,2176481,6128415,4653,1652.493523,0.075925015,0.075925015,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,500,"Education, Training, Employment, and Social Services",504,Training and employment,2176481,6128415,7376,2619.555604,0.120357384,0.120357384,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,500,"Education, Training, Employment, and Social Services",505,Other labor services,2176481,6128415,2180,774.217898,0.035572004,0.035572004,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,500,"Education, Training, Employment, and Social Services",506,Social services,2176481,6128415,24799,8807.26131,0.404656016,0.404656016,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,550,Health,551,Health care services,2176481,6128415,835211,296621.699492,13.628499375,13.628499375,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,550,Health,552,Health research and training,2176481,6128415,48069,17071.504653,0.784362678,0.784362678,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,550,Health,554,Consumer and occupational health and safety,2176481,6128415,5275,1873.394226,0.086074458,0.086074458,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,570,Medicare,571,Medicare,2176481,6128415,847544,301001.712949,13.829742274,13.829742274,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,600,Income Security,601,General retirement and disability insurance (excluding social security),2176481,6128415,50442,17914.265695,0.823083946,0.823083946,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,600,Income Security,602,Federal employee retirement and disability,2176481,6128415,179356,63697.534556,2.926629479,2.926629479,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,600,Income Security,603,Unemployment compensation,2176481,6128415,33850,12021.68617,0.552345101,0.552345101,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,600,Income Security,604,Housing assistance,2176481,6128415,67057,23815.013575,1.094198092,1.094198092,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,600,Income Security,605,Food and nutrition assistance,2176481,6128415,172977,61432.059339,2.822540575,2.822540575,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,600,Income Security,609,Other income security,2176481,6128415,270974,96235.284734,4.421600039,4.421600039,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,650,Social Security,651,Social security,2176481,6128415,1354317,480980.02803,22.098976652,22.098976652,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,700,Veterans Benefits and Services,701,Income security for veterans,2176481,6128415,151121,53669.992192,2.465906764,2.465906764,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,700,Veterans Benefits and Services,702,"Veterans education, training, and rehabilitation",2176481,6128415,12582,4468.444768,0.20530594,0.20530594,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,700,Veterans Benefits and Services,703,Hospital and medical care for veterans,2176481,6128415,125512,44575.062765,2.048033627,2.048033627,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,700,Veterans Benefits and Services,704,Veterans housing,2176481,6128415,429,152.357559,0.007000179,0.007000179,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,700,Veterans Benefits and Services,705,Other veterans benefits and services,2176481,6128415,11956,4246.123482,0.195091227,0.195091227,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,750,Administration of Justice,751,Federal law enforcement activities,2176481,6128415,42478,15085.884347,0.693131911,0.693131911,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,750,Administration of Justice,752,Federal litigative and judicial activities,2176481,6128415,19085,6777.958067,0.311418205,0.311418205,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,750,Administration of Justice,753,Federal correctional activities,2176481,6128415,8374,2973.991137,0.136642182,0.136642182,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,750,Administration of Justice,754,Criminal justice assistance,2176481,6128415,10495,3727.255431,0.171251457,0.171251457,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,800,General Government,801,Legislative functions,2176481,6128415,5779,2052.387722,0.094298444,0.094298444,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,800,General Government,802,Executive direction and management,2176481,6128415,655,232.620515,0.010687918,0.010687918,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,800,General Government,803,Central fiscal operations,2176481,6128415,16140,5732.053613,0.263363366,0.263363366,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,800,General Government,804,General property and records management,2176481,6128415,-538,-191.068454,-0.008778779,-0.008778779,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,800,General Government,805,Central personnel management,2176481,6128415,260,92.337914,0.004242533,0.004242533,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,800,General Government,806,General purpose fiscal assistance,2176481,6128415,12127,4306.853418,0.197881508,0.197881508,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,800,General Government,808,Other general government,2176481,6128415,2579,915.921082,0.042082659,0.042082659,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,800,General Government,809,Deductions for offsetting receipts,2176481,6128415,1197,425.109552,0.019531967,0.019531967,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,900,Net Interest,901,Interest on Treasury debt securities (gross),2176481,6128415,879229,312254.508409,14.346760133,14.346760133,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,900,Net Interest,902,Interest received by on-budget trust funds,2176481,6128415,-102646,-36454.298334,-1.674919208,-1.674919208,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,900,Net Interest,903,Interest received by off-budget trust funds,2176481,6128415,-66507,-23619.683371,-1.085223504,-1.085223504,proportional_outlay_share,modeled_not_legal_dedication,actual
2023,900,Net Interest,908,Other interest,2176481,6128415,-49077,-17429.491645,-0.80081065,-0.80081065,proportional_outlay_share,modeled_not_legal_dedication,actual
